tracer_number,CO_max_error,CO_l2_error,C+_max_error,C+_l2_error,O+_max_error,O+_l2_error,O_max_error,O_l2_error,e-_max_error,e-_l2_error
0,0.5595039841581905,0.0318759521393658,3.4100341715326976e-05,1.9354746377199604e-06,0.1235815341364002,0.0092609133139267,0.0001472359147105,6.583054415990768e-05,0.0004133502366236,0.0001749556776084
1,0.0021596061784085,0.000269377577037,7.898047088168472,0.0054922404862427,7.84282144609062,0.0035865998080726,0.005483880527836,0.0003634983683545,2.8690159708783054,0.0053766926662625
2,0.0167540033569291,0.0057325770543811,0.0025581545433268,0.001226327648603,0.2929033806628986,0.0041633199815054,0.0003359363069079,0.0001432474213665,0.0024927423141081,0.0012119834007203
3,0.4962587876971053,0.0256117935191385,0.0419153226880322,0.0058488508095779,0.4045513605806728,0.0282292175691097,0.0001094510904022,3.733409824477976e-05,0.0403326589585629,0.0056848563071053
4,0.2634929553237922,0.0096938090619011,0.193074525062893,0.0090909829703076,0.3679784338583245,0.0407834183225956,0.0106035929907683,0.0028224167368363,0.187393712578763,0.0090384048547315
5,0.1222015154359264,0.0099022469508838,0.0793248064497884,0.0097355974262391,0.7091557455068563,0.0369063952673094,0.0004162258302004,8.017111940176726e-05,0.0720608528916808,0.0095323708058292
6,0.1919692088832373,0.0362600671441344,0.002265334948399,0.0003534766766194,0.4870972330312989,0.0138946277476813,3.396725586066363e-05,7.014415204344757e-06,0.0021893486444312,0.000349910899631
7,0.395984092632899,0.0484887076614362,0.0004130387239225,3.891568735468264e-05,0.2443689564059536,0.009366426379167,5.48646078233749e-05,1.973727404985984e-05,0.0004612468167531,0.0001050154690603
8,0.000721499056326,0.0003522927807027,0.026907922481647,0.0036405455694137,0.011064177866833,0.00294752567056,0.0006069248673742,0.0004155485991931,0.0068024035362209,0.0017543981421063
9,0.3970861376112254,0.0522418055213515,0.0002128554572674,1.0320892527793102e-05,0.2612822622900025,0.0053653669810392,3.8444777493248426e-05,1.987341642239012e-05,0.0003214199363816,9.580426661262538e-05
10,0.4473950980098437,0.0075999105613892,0.1518672159725315,0.0082997302005401,0.2657451686777879,0.0310137726386459,0.0033563037007614,0.0007884300795237,0.1225046751227549,0.0082678980089772
11,0.1672377489038944,0.0232876844535774,0.1204503086607321,0.0095414808870159,0.5638681826959566,0.0275147998724171,0.0004434273692526,0.0001396672137668,0.0981528455159972,0.009254810264253
12,0.0010499844182487,0.0002755613875096,1.3672457699496396,0.0052999466334261,1.3636413744414664,0.0035464673538388,0.0028904051177202,0.0003771947132151,0.6624629273566587,0.0046097437967992
13,0.0037300170594657,0.0034037836688654,0.1526923976477844,0.0130043519127363,0.1113125060584499,0.0214021307420874,0.0025332994387342,0.0018574144056347,0.0944490246097567,0.0110700792012183
14,0.2791959046687057,0.0384950427129679,0.0004065247808444,5.445795766850925e-05,0.3510105651651916,0.0127176974379399,6.828299763506724e-05,1.7156414987735544e-05,0.000381982932642,0.00011831163247
15,0.4852149938773474,0.0609857508294132,0.0064826948712083,0.0010382925068636,0.2928039878579642,0.0129782318252343,0.0001284385924566,2.940359175972194e-05,0.0063283650552169,0.0010114288622817
16,0.3035897894830619,0.0054457784113465,0.062662011092696,0.0105487439009483,0.603541179205234,0.1507191079515867,0.0023398011482536,0.0004608709087733,0.0573038791942461,0.0105039936235825
17,0.4514984837124125,0.02153118934859,0.0002897378715404,6.455314961961771e-05,0.1686124804841401,0.0212181369597943,7.095225315556343e-05,1.8164645461577223e-05,0.0003601584052306,0.0001211747489152
18,0.1633716358307584,0.0198122584300208,0.0045992755573302,0.0009401368852967,0.5269162152842741,0.0238120786461368,6.235528616787227e-05,1.6078335692422184e-05,0.0045386071278482,0.0009125871966007
19,0.1029886856221435,0.0236975772663532,0.0013946856956207,0.0002643528097798,0.3430302655307527,0.0265851288984589,9.322923163406884e-05,1.863926791823501e-05,0.0014175042342628,0.0002745474194583
20,0.3388204052613014,0.0321437417462802,0.0475707555942043,0.0062138661712969,0.5601957252981214,0.0419077366917072,4.306586652523116e-05,2.220925790273656e-05,0.043743902541961,0.0060586537448324
21,0.0008485596117789,0.0005945046019703,0.0533215056246391,0.012073573297673,0.016920670741718,0.0040032645298197,0.0010063111822425,0.000673816927159,0.0156236223971587,0.0030029715087496
22,0.0007296352709551,0.0002755644745956,0.0797434940655996,0.0056332203837579,0.0770951835355749,0.0038612863018101,0.0011411050659046,0.0003632342940012,0.0255618437999734,0.0023488368402074
23,0.1837778843700338,0.0254107865931699,0.0587456307764577,0.0080686810832534,0.6201384016404297,0.0349520749019685,0.0004048459605587,8.685461705103903e-05,0.0530962134033676,0.0077646602252451
24,0.3037163342160585,0.0482772726674954,0.0001484557095684,3.514746647446088e-05,0.3786511677884113,0.011185044733577,0.0001191760475356,2.8940273941251008e-05,0.0003195958544315,0.0001078738739713
25,0.4165228850697976,0.0250257498071099,0.0102828104924139,0.0022586514445408,0.31436557754827,0.0398016791020383,7.028335525876802e-05,1.668969442893831e-05,0.0101031068595789,0.0022135450312371
26,0.5058256106083727,0.0358899841104163,0.0001368741857355,2.364835146022314e-05,0.15175419432686,0.0218202428305572,0.0002320529633473,4.4369057350173074e-05,0.0004845278656203,0.0001384895871594
27,0.4860449560013727,0.0393855689056994,0.0168759794977638,0.0035546154397019,0.3111704828310879,0.0240418944451166,0.0001051379789903,2.015331184997247e-05,0.0165695045392559,0.0034744968317967
28,0.0759942341889081,0.0070570856780445,0.0145013358799444,0.0038116574049169,0.4013089612076463,0.0133430917613365,0.0008714193226151,0.0001842362207546,0.0142739358566463,0.0037234732980119
29,0.0016867482258429,0.000277885068155,6.263393657616463,0.0053376676778368,6.255306267594964,0.003380957159994,0.0043975772185343,0.0003796339106303,2.4045184845567724,0.0042599283758326
30,0.3021616264456498,0.0794876234182893,0.0006596580012836,3.113877363449534e-05,0.5595800024613884,0.0040377623070458,4.8432035574615065e-05,1.6803888731589472e-05,0.0006615507040753,6.5733251149304e-05
31,0.1812409547419604,0.0071180330395886,0.1061843700061027,0.0103393127262611,0.3409960653889201,0.0989727331356051,0.0022040889113178,0.0006194075894074,0.1017055237466302,0.010302305233733
32,0.525685633104488,0.0626390239114967,0.001817404658598,0.0002374628553239,0.2420473760919395,0.0112642512637218,0.0001169133900495,3.310609074103866e-05,0.0016962002090049,0.0002594296428799
33,0.2233940199212533,0.0116484496118196,0.1244507040485714,0.0101658131814178,0.2551609654147724,0.0333494437350816,0.0079730138946027,0.0016862448749951,0.1197235723963469,0.0101152699679498
34,0.5001137832597236,0.0359903123384457,0.0063393758584315,0.0011176771586897,0.2169498292839821,0.0239256514733081,9.48189810536713e-05,2.4226290371546945e-05,0.0062154771345386,0.001100517707561
35,0.1668325055541316,0.0075488204368742,0.2101411625859758,0.0137134390355382,0.1991897218521101,0.1049571798091853,0.0123658776613694,0.0035001266770811,0.1814393417918474,0.013663934638555
36,0.507196953851982,0.0355763318820238,0.0073215761208021,0.0012668647926437,0.2803160207915691,0.0244858752198548,5.5629340666903445e-05,1.0448506219749804e-05,0.0070441898017139,0.0012239847859423
37,0.5417085487296369,0.0368198333275225,0.001120688071468,0.0001549755933498,0.1302155752673351,0.0147129787237397,0.0001931260258968,5.497662163329672e-05,0.0012057908012554,0.0002360138171155
38,0.0007353508894909,0.0002894072250635,0.1441734757333673,0.0057888455691814,0.1415245026054823,0.0043219967597946,0.0011770225517522,0.0003825339942465,0.0452057001148474,0.0026935595767698
39,0.157208506129909,0.0064320640033219,0.0481051203436224,0.0063237323817378,0.6057733630179468,0.0367096234458405,0.0001644134334285,4.044040162326536e-05,0.0439262320487198,0.0062038004502516
40,0.0199212812316348,0.0028447626390312,0.0142960928993509,0.0020078371377228,0.3244980933416172,0.0128358209121131,0.0001559189457869,6.60955646902732e-05,0.0139946605194491,0.0020263837008105
41,0.4288283294741652,0.031167262974476,0.000733116227241,0.0001114142284133,0.1924209872745602,0.0131526218770701,5.920157324020841e-05,1.6540206414059728e-05,0.0006425151888108,0.000140837625425
42,0.4968978395190699,0.0325582400889553,8.5498223254395e-05,5.003861055805174e-06,0.1603456163311114,0.0086229185556191,0.0001056522035594,2.5537406923289277e-05,0.0002354334423796,9.761466898136918e-05
43,0.1649747552691163,0.0215410195756103,0.0403524882346756,0.0056507334065287,0.5262076430048133,0.0128847191743685,0.0002291932464475,7.76895401717858e-05,0.0380935927130696,0.0054731785144465
44,0.1921773305813462,0.0052690625464015,0.0245077035294986,0.00394692559799,0.520309206560729,0.0966036394192085,0.0002299813708019,4.448835766053012e-05,0.0236306342976573,0.0038742089336295
45,0.1671481678358538,0.0106908564111121,0.0334895467101962,0.0057352162497754,0.4636115082978992,0.058289750914222,0.0006025878820673,0.0001241169940773,0.0320703151741515,0.0056117378926204
46,0.5221123714027561,0.1090940790294188,0.0001507082134824,1.6994388589714297e-05,0.1400784104081224,0.0065043481218062,0.0001050710978437,3.3056353269551175e-05,0.0002726148570933,0.0001185114627966
47,0.1696823889396266,0.0532731173809654,0.0209022781486665,0.0025150368021366,0.4514795949073865,0.0143708974599166,4.109754723263653e-05,7.678901737398205e-06,0.0205352334737523,0.002455608229296
48,0.2509590076068475,0.0281153410901228,0.0038497995397811,0.0009403470026701,0.4696466249653018,0.0208875313673306,4.162524403485351e-05,6.579604781836439e-06,0.0037855997818396,0.0009206831946586
49,0.0205004669257875,0.0023493131861522,0.0177202011291724,0.0025394157998998,0.3796009067111361,0.0170819616882958,0.0001433248383391,5.327430833321195e-05,0.0173334964851438,0.0025581520132111
50,0.0018567043022757,0.0002771786904797,5.895015912700185,0.0054739697199034,5.872852279975808,0.0034669297520742,0.0048012037152028,0.000375529403622,2.319650183263062,0.0045082984341048
51,0.1975895038257895,0.0182322708118106,0.1101319953702715,0.0062389207154401,0.5240528300696818,0.0206783149987424,0.0003242995956861,0.0001169880397316,0.1019607692498607,0.0060613119895176
52,0.0796371514435057,0.0063067456170598,0.0488832919236148,0.005385730432256,0.5755249020107527,0.0325810054110967,6.644835913289166e-05,2.3196950930487368e-05,0.0451792146785106,0.0052659788887433
53,0.4773620548480461,0.0611669202399346,0.001445653120059,0.0001645977257815,0.1622543018101783,0.0129924414128843,8.715915460098426e-05,1.993549414303296e-05,0.0014235234648954,0.0001960444290751
54,0.1828126811153911,0.0099086882132851,0.41949788480125,0.008700165868645,0.1575682293737075,0.0303198386534977,0.0126235527811747,0.0031488717396001,0.1548352122322356,0.0086696940219258
55,0.2065835701594679,0.0058725312431446,0.0766322311147765,0.0091189295696206,0.6459496209457934,0.1523924612087101,0.0005796798194347,0.000106390468419,0.0690753458075581,0.0089702239573315
56,0.1711364398739639,0.0313796337318772,0.0011920824032506,0.0002161159546957,0.5097240317107536,0.024142699028826,3.676878847472941e-05,9.970848105480516e-06,0.0011758905622532,0.0002363824168878
57,0.4384907719918227,0.0384683756994684,0.0001297832675542,9.8747174364545e-06,0.1872860801233785,0.0114237112857149,5.953082978517702e-05,1.8268571935060782e-05,0.0002913181653338,9.505686296912164e-05
58,0.4029474237503034,0.0230210151279502,0.0001947743457505,4.44201371018292e-05,0.2470989236740382,0.017245590486507,4.574777897326517e-05,9.783358197085954e-06,0.0002711093448571,8.256818929980279e-05
59,0.2871254114015965,0.015132898939411,0.000780255079885,0.0001301160767489,0.4741646748094009,0.0157371962671039,2.778252807650877e-05,6.819244668978383e-06,0.0007391580797694,0.0001240332105007
60,0.2245456704351325,0.004908231192028,0.1065111618922327,0.0071647710736804,0.2747509199799105,0.0619651184157473,0.0020010884844035,0.0004887018938881,0.1021847590771737,0.0071344095328241
61,0.2382970640121624,0.0117734852608917,0.167287333053874,0.0098284485873977,0.2588146503171565,0.0316397173241538,0.0126814547858622,0.0031411892563274,0.150813973022505,0.0097700330808543
62,0.001609923759163,0.0002699120319224,3.703437257176416,0.0054364091510968,3.695066453135432,0.0034211729070531,0.0042121223384141,0.0003669046522221,1.582623384387562,0.0043752947411546
63,0.3611422774041015,0.0158592500972185,0.0085347272483939,0.0011510598394648,0.303779758056443,0.0241502546027276,6.134096265184565e-05,1.83054175510411e-05,0.0084358520094352,0.0011487407451043
64,0.0016956351977316,0.0002654902943134,3.960946530637352,0.0054530037911507,3.9492104488670328,0.0034228096025587,0.0044139289800288,0.000360895345785,1.6665868748032844,0.0044421590646042
65,0.0037141766229765,0.0035180224279828,0.2316048879486741,0.0192557571080744,0.0959069466746751,0.0213304454963774,0.0027535629179532,0.0020608494770264,0.0651772333954408,0.0156063218690597
66,0.4432178961533544,0.0421679105083234,0.0001174703468804,6.544861252718635e-06,0.1701871471320053,0.0044859050993278,6.745435117786028e-05,1.6276443265602407e-05,0.0002561763244067,8.028773960798332e-05
67,0.5601893972344391,0.0490541177021668,0.0030870734491822,0.0003429280848901,0.1933747005011127,0.0260262487870332,8.129036323890764e-05,1.6405870878583806e-05,0.0030387955935831,0.000353249112811
68,0.1640979452057512,0.0094016803908922,0.0037183704428724,0.0009949668127205,0.4781520192986092,0.0255204834833493,0.000167017379563,2.4085098019476552e-05,0.0037124595115475,0.0009757170878209
69,0.1300345863521304,0.0208154938820271,0.0258964521635946,0.0051164453882884,0.4232388606458906,0.0274264152411525,0.001017328523823,0.0002959676186691,0.0244802081793042,0.0049730276827466
70,0.0007535435123845,0.0001218444480655,0.0294911020960181,0.0037595173808714,0.0172391315162374,0.0022173603911777,0.0006152178766005,0.0001512689339773,0.0092788503128212,0.0015315105946875
71,0.2748885607812011,0.0265132528503632,0.0797875797695624,0.0088667500125032,0.627888873703797,0.0347968868688598,0.0016912928485592,0.0001670265533581,0.0736370377799732,0.0085985194573321
72,0.4004191123955979,0.0280602578158865,0.0007409431349084,0.0001295075530529,0.2241567366766839,0.0169478372143668,5.7366804319880826e-05,1.5133711098125456e-05,0.0008093401064034,0.0001617900681418
73,0.1171145561327404,0.0130456083875214,0.0581487348997891,0.0078990257849861,0.472087482741199,0.0455961322792462,0.0004490717979672,9.39770525782826e-05,0.0537478887376513,0.0076872249025746
74,0.169453072448626,0.0090338863786203,0.2142353225697522,0.0074946312722428,0.3389870162648802,0.0332315259917357,0.0269168826989715,0.0027496090814798,0.1876333453422971,0.0074546915951744
75,0.4970987592059575,0.0788884212909289,0.0002117189535691,2.3190981552692806e-05,0.1507584438808029,0.0083046821802105,0.000108031462332,2.650538895535332e-05,0.0003351248157947,0.0001137110779449
76,0.1100239871992735,0.0234992446548631,0.0096726361604903,0.0019039386871637,0.5091944750284799,0.0281296106007262,0.0001052394548535,1.660567952029531e-05,0.0095226322243069,0.0018637835344077
77,0.4867897408783497,0.0295935654780483,0.0031721224598966,0.0006012149261937,0.187785388360503,0.0287860915095613,0.0001046284771943,2.3153362831618964e-05,0.0029550838975872,0.0005722606272812
78,0.0020249090234564,0.0013579997330432,0.0246003767253014,0.007344040929093,0.0257382501398982,0.0081925255217043,0.0017234591102077,0.0013249220361122,0.0130128914175758,0.0043583604163424
79,0.164486013116674,0.0087146333518158,0.1714113756599358,0.0083831845130964,0.1613392171853586,0.0363602843543669,0.0054641771360107,0.0016572911976212,0.1230510140691146,0.0083568187950393
80,0.5463198789868572,0.0580978309830504,0.0014528748747195,0.0001768258521099,0.1369400775918711,0.0157728891379805,0.0001443153972804,4.313339192074093e-05,0.0014922935675088,0.0002418136461939
81,0.5344635801574809,0.0600671112273946,0.0006023020555507,5.910347905046688e-05,0.1325936137239326,0.0125808818609013,0.0001777863389812,4.843110912791629e-05,0.0006331745329901,0.0001635842163581
82,0.3587657428555417,0.042511917180625,0.0363334984407304,0.0051223950829171,0.4117133041087574,0.0410798848590857,2.99714601467724e-05,9.485380647352298e-06,0.0352598862841264,0.0050121480549987
83,0.1859274444387971,0.0063245570029895,0.2362069442252648,0.0550461768032297,0.1261719586251625,0.0579558067403564,0.0268867583690275,0.0047211597421944,0.1359563477304561,0.0545875170458473
84,0.5655106781423179,0.0467716767333651,0.0008376977062991,0.0001364714362154,0.1463285185402075,0.0198713833777315,0.0001606632412491,4.468664720979672e-05,0.0008695136662364,0.0002081983454007
85,0.2897354422261959,0.0377982146987093,0.0383317025832624,0.0055119357875134,0.5493834870585408,0.0297583092869921,4.902776677170343e-05,2.142622952691564e-05,0.036830501148192,0.0053605520786846
86,0.12350383868364,0.008039457399787,0.1203103418761926,0.0093257655701052,0.2969219309964969,0.0578567820344527,0.0039309453840099,0.0008407762590664,0.1166658701143941,0.0092814346871451
87,0.2556089747415631,0.0297637660827625,0.0047531367700744,0.0007385592945451,0.5246853074526825,0.0230050554893802,6.128978328596916e-05,1.0696598540215164e-05,0.0046424519124598,0.0007009973919134
88,0.0940805686818042,0.0119569023728613,0.0476434385525153,0.0049716507983017,0.3982757880849863,0.0172292369738023,0.0008311993472715,0.0001576886598995,0.0459412814475766,0.0048781512920768
89,0.2860707707207638,0.0072863252726515,0.1317528913871542,0.0402128660882118,0.1494703417726701,0.0638695630863164,0.0250002756030571,0.0040721251159568,0.1092377285382019,0.0400631576141958
90,0.3846548233634121,0.0486917181289984,0.0002046949606802,1.6205567983685917e-05,0.2583265811251571,0.0120859877955589,7.155888566964641e-05,1.7188986919871258e-05,0.0002747398728155,7.394321281882724e-05
91,0.0007519828423638,0.0002287224457267,0.0281256564483671,0.0044258995477178,0.0105789341938827,0.0017463770479309,0.0008376661476047,0.0002904413526408,0.0071905716447642,0.0008807915004885
92,0.2403805520350483,0.0441596346919826,0.0442432681201843,0.0032264256496801,0.6475124830836617,0.0154282441984687,1.143348879620522e-05,2.8755589154523954e-06,0.0434493132887665,0.0031661660166274
93,0.0007183159619097,0.0002809335948631,0.5002765724127409,0.0053907463456496,0.4975693626845672,0.0036900470972192,0.0020304511322772,0.0003817566340668,0.2598842911434947,0.004167102233066
94,0.1847992156135537,0.0087565292683721,0.0277550166895994,0.0048828749777425,0.4928431312333504,0.0824267958569107,0.0003211054665006,6.2369161940177e-05,0.026770203000381,0.0047795295138756
95,0.0382764622367052,0.0072104775930842,0.0038969860532604,0.0013554917800326,0.4043405850546713,0.0084901172151555,0.0011448239517211,0.0001443718861615,0.0039412474107102,0.0013751731264318
96,0.2301093663771963,0.0065090832502139,0.2061929891998527,0.0101188473912668,0.2196957592594983,0.1216671586148611,0.0090899454038905,0.0025742908652653,0.1630792741426829,0.0100797155342825
97,0.2231025403505442,0.0119891275975377,0.029948923548425,0.00454735571493,0.3476253687880662,0.1225716696558913,0.0005354506950771,0.0001310170579823,0.0293022286239873,0.0044860728468744
98,0.4706652650376283,0.0508431184835917,0.0076262645650464,0.001759798310495,0.3502736599607767,0.0239563022886853,4.31550322108693e-05,9.607234611175723e-06,0.0075273265019993,0.0017086687255986
99,0.1809865484566542,0.0098623246323167,0.2131262951968216,0.0135275696094649,0.2489300210782141,0.0865784279251561,0.0209749947687878,0.004154126650592,0.1343949953031893,0.0134575122822322
