tracer_number,CO_max_error,CO_l2_error,C+_max_error,C+_l2_error,O+_max_error,O+_l2_error,O_max_error,O_l2_error,e-_max_error,e-_l2_error
0,0.5594994694978438,0.0318713713111608,3.4065606296099494e-05,1.934418729941773e-06,0.123597769352045,0.0092724809705725,0.0001472248554273,6.591587444050367e-05,0.0004131923421825,0.000175134089736
1,0.0021816933605029,0.0002774663872549,7.902453077121554,0.0055046548048965,7.843760082232406,0.0035965122698891,0.0055505176276204,0.0003753600744926,2.8684037214290696,0.0053849293743391
2,0.0167774548910193,0.005753451548915,0.0025585299837481,0.0012276825728921,0.2928945688896233,0.0041663454038671,0.0003368736739425,0.000143770583739,0.002492960543037,0.0012131875983316
3,0.4960458349972981,0.025557329823,0.0420351104690581,0.0058307060159411,0.4044923825872544,0.0282490872531408,0.0001096525140702,3.731780371825943e-05,0.0404552483703257,0.0056668035880668
4,0.2647923021236367,0.0096840550386199,0.1932430397588647,0.0090916230811566,0.368010564608692,0.040928213663885,0.0105991460429466,0.0028195691740271,0.1875467946126012,0.0090391149052103
5,0.1224301010236346,0.0098997343538363,0.0791070071995321,0.0097246916876569,0.7091451153549577,0.0371155053887116,0.0004164150253635,8.014966358038696e-05,0.071844915799046,0.0095207535851882
6,0.1919190996846388,0.0362560240925638,0.0022649119039261,0.0003540582304864,0.4871012651643038,0.014056167480328,3.4040391482271194e-05,7.091549210151141e-06,0.0021888337230737,0.000350722842349
7,0.396120367640764,0.0485500844680847,0.0004130092878918,3.891014718557085e-05,0.2462299297790091,0.0093785748976966,5.5182308574762985e-05,1.976364518833464e-05,0.0004586285012873,0.0001051883561922
8,0.0007344638675897,0.0003471279373797,0.0269447659118861,0.0036047134640308,0.0110606873888495,0.002937203719696,0.0006045368694208,0.0004096456113705,0.0070515506992062,0.0017791564452666
9,0.3970767092280077,0.0523212770193981,0.000212855644159,1.0318304495876249e-05,0.2612622687731314,0.005377383295218,3.855107502384908e-05,1.9918184487526243e-05,0.0003214510712645,9.55865992165648e-05
10,0.447336427926974,0.0075936255968842,0.1518066754667693,0.0082908447625703,0.266021424719273,0.0310499117581531,0.0033540797017223,0.0007877812224429,0.122474942389378,0.0082592172823163
11,0.1674049188491884,0.0232808635906387,0.1204535425043526,0.0095447690781064,0.5638687063387806,0.0275729243863243,0.0004428657889391,0.0001396253072045,0.0981562962633594,0.0092579275128937
12,0.0010741129720658,0.0002808348916678,1.368381246937879,0.0053093586132341,1.3638964205109747,0.0035512476544822,0.0029638688510006,0.0003859558717358,0.6633486566557799,0.0046158142545642
13,0.0037301217364707,0.003404050940145,0.1531768217194575,0.0130132664746178,0.1113145741619244,0.0213938037880312,0.0025332337604451,0.0018575695875936,0.0947329538521942,0.0110716866302296
14,0.2791256926085514,0.0386122894286409,0.0004065688156273,5.449953080832613e-05,0.3510264396664549,0.0129165140264473,6.910802195325673e-05,1.742921452617108e-05,0.0003822899662341,0.0001201324010269
15,0.4853172217888437,0.0612266991969548,0.0064994363755833,0.0010437167362268,0.2929370606935511,0.0129650350560961,0.0001289999823711,2.937508200892721e-05,0.0063402622347227,0.0010164083428263
16,0.3035935094532829,0.0054481805912332,0.0626555020409506,0.0105535752162471,0.6035412968754851,0.1510661601320538,0.0023411939286151,0.0004610739371319,0.057300288003694,0.010508745889971
17,0.4512755712854941,0.0212281289011641,0.0002860231307545,6.354193863167412e-05,0.1682691504390796,0.0212862353982684,7.120033824715061e-05,1.821537651896049e-05,0.0003608487573645,0.0001205830894452
18,0.1630051510688806,0.0198042898399556,0.0045933953508183,0.0009408591961084,0.5269159985391445,0.0237994346930955,6.240755356357233e-05,1.6072079175568e-05,0.0045328073712829,0.0009134955543744
19,0.103038349548337,0.0236390844117885,0.001396205446909,0.0002640231300194,0.3430307911116857,0.0267055439837809,9.282728398046977e-05,1.8598709454971588e-05,0.0014195796780721,0.0002741093326914
20,0.3388413589931735,0.0321186138663804,0.047564737067306,0.0061800647263001,0.5601783404857174,0.0418988832885097,4.305588289395412e-05,2.219307540599878e-05,0.0437343116828142,0.0060252840999874
21,0.000844075153969,0.0005902705124815,0.0531732329090796,0.011983516725699,0.0169168511924507,0.0039953349947717,0.0010034815205969,0.0006691637553991,0.0156008473038625,0.0030153316974317
22,0.000736652564033,0.0002773429285321,0.080255028190531,0.0056557798016163,0.0774334939177657,0.003884684549191,0.0011941020168923,0.0003659455359218,0.0256730135355082,0.002347352173162
23,0.1837829036487195,0.0253845005002267,0.0587386125259803,0.0080435055442551,0.6201405579465704,0.0349433872996659,0.000403811567547,8.676536764077084e-05,0.0530882858941841,0.0077401009527028
24,0.3027784852327984,0.0482095298422144,0.0001488730908361,3.5141052929818014e-05,0.3786566943552371,0.0111839683760422,0.0001185722760723,2.8942465759790245e-05,0.0003251877601218,0.0001092629085751
25,0.4170070573391644,0.0250265906107718,0.0102807944691447,0.0022451664940275,0.3143782989258335,0.0398342663637698,7.051810654822469e-05,1.6705503712406712e-05,0.0101039167514309,0.0022003138685919
26,0.5058099635755435,0.0359889817434735,0.00013852075269,2.3685172978057077e-05,0.151684754892073,0.0218992621312385,0.0002314237173421,4.452057134496638e-05,0.0004843453816599,0.0001386791715612
27,0.4861405363050579,0.039326795650402,0.016915839376532,0.0035347975578737,0.3111816868920903,0.0241689489055915,0.0001054518165479,2.02537802664247e-05,0.0166131162936784,0.0034555873568037
28,0.0759741427455374,0.0070474510445857,0.0145437898566656,0.0038085912777687,0.4013068618850078,0.0133222975174556,0.0008711039224818,0.000183995334692,0.0142565145893354,0.0037202355694822
