tracer_number,CO_max_error,CO_l2_error,C+_max_error,C+_l2_error,O+_max_error,O+_l2_error,O_max_error,O_l2_error,e-_max_error,e-_l2_error
0,0.5594720635140473,0.0318918653496136,3.4098726021777966e-05,1.9360015467341265e-06,0.1236378952381422,0.0092369890057597,0.0001475317544422,6.565710103484341e-05,0.0004134411118282,0.0001744265659151
1,0.0021586629071253,0.0002721684899243,7.898604234655383,0.0055096721612126,7.843551302145888,0.0035897253905664,0.0054803131681728,0.0003666104379727,2.873480702176847,0.0053970698328597
2,0.0167444279954477,0.0057227835566983,0.0025567239750654,0.0012244928791744,0.2929041298375949,0.0041592428593643,0.0003355053935913,0.0001430036533183,0.0024914528844027,0.0012101857121065
3,0.4962844637480172,0.0256603267228006,0.0420371774972732,0.0058647656068351,0.4045552955168161,0.0281863140833346,0.0001094062027138,3.733530445777094e-05,0.0404503458460118,0.0057003046990178
4,0.2611556886568359,0.0096799043553256,0.1930487318637331,0.009067025710041,0.3679186108355065,0.0408791753987404,0.010588856589689,0.0028183817016203,0.1874056462087052,0.0090154230984977
5,0.1223779812237121,0.0098608298214368,0.079190133149716,0.0097036334996358,0.7092324399243233,0.0366782423549156,0.0004150304796732,7.983564305319385e-05,0.0719257455330291,0.009500397704084
6,0.1915040366355435,0.0361609395677663,0.0022668475807808,0.0003528727269718,0.4870931056410439,0.0137645485677771,3.3788394643675306e-05,6.948273843200094e-06,0.0021909112070979,0.0003493853153199
7,0.3959469869631249,0.0485167431141375,0.0004130910056736,3.893973802444064e-05,0.244237185564151,0.0092682432494929,5.427376267608691e-05,1.9529992617092717e-05,0.0004614311766736,0.000104729466181
8,0.0007345568517529,0.0003599665086002,0.0269624591208341,0.0036304385117738,0.0110804164721118,0.0029522641538007,0.0006201455806525,0.0004245850029608,0.0069572021193332,0.0017373764942184
9,0.397088316345934,0.0521014582806406,0.0002128547063071,1.036576187744253e-05,0.2613894095009346,0.005335574462083,3.818812181409268e-05,1.97613478368272e-05,0.0003225836116795,9.562152951305542e-05
10,0.4464024911135459,0.0075609926325074,0.151539369086168,0.0082671495421596,0.2653085037661957,0.0308879116994223,0.00334469760998,0.0007843784175663,0.1218125641301503,0.0082357469982296
11,0.166740497666029,0.0233027228370671,0.1204586613822243,0.0095198819992401,0.5638675868463153,0.0276517974654889,0.0004414924923268,0.0001397545127678,0.0981521929055505,0.0092335242885824
12,0.0010488438118342,0.0002666846171699,1.3673364439354352,0.0053106517376558,1.3638048441862465,0.0035389299871792,0.0028855058398987,0.0003657435378088,0.6630520970244881,0.0046424453403076
13,0.0037352832174925,0.0034092196245817,0.1530027964594178,0.0130273635121989,0.1113177332510067,0.0214336658154819,0.0025375926063396,0.0018603864386278,0.0946431837477631,0.011145409672667
