tracer_number,CO_max_error,CO_l2_error,C+_max_error,C+_l2_error,O+_max_error,O+_l2_error,O_max_error,O_l2_error,e-_max_error,e-_l2_error
0,0.5594979757466018,0.031869608281392,3.406368022033813e-05,1.934891939817134e-06,0.123596171545651,0.00927374467701,0.0001472123854452,6.59249475969966e-05,0.0004131191226112,0.0001751406739482
1,0.0021815094087591,0.0002780756201736,7.902387717236783,0.0055044923671224,7.843636497627997,0.0035968402137538,0.0055502727218618,0.0003761404290355,2.868433730872749,0.0053780611559579
2,0.016786304681642,0.0057504105550637,0.0025581458354253,0.001227259993536,0.292894415419315,0.0041654477272491,0.0003367328528835,0.00014369353481,0.002492608394141,0.0012127809733894
3,0.496247998667491,0.025554836682423,0.0419842601331592,0.0058352176669468,0.4045036230110693,0.0282563584507746,0.0001096545814981,3.732112988163882e-05,0.0404066901170162,0.0056712040824328
4,0.2640330855101935,0.00968406297085,0.1932621632847332,0.0090886284720501,0.3679925215979573,0.0409308428288548,0.0105996364339388,0.0028195712653143,0.1875654442383647,0.0090361235701497
5,0.1223580374472227,0.0098888774397161,0.0791065533875176,0.0097139278091113,0.7091455393021411,0.0370428444861535,0.0004163331954949,8.006176245386524e-05,0.0718448181855854,0.0095102000411795
6,0.1918741243171688,0.0362573495364642,0.0022649334233793,0.0003540241930437,0.4871014795101333,0.0140568560353487,3.4039927986455864e-05,7.09185096390937e-06,0.0021888399025439,0.0003506974533437
7,0.3961081249435106,0.0485482989610749,0.0004130131487516,3.890222969616387e-05,0.246273648428328,0.0093776205042839,5.517836532318948e-05,1.976110725307357e-05,0.0004586288833582,0.0001051579262718
8,0.0007353398337469,0.0003463755061726,0.0269381853583653,0.0036040145201954,0.0110586234371586,0.0029368655376144,0.0006039787523019,0.0004087485045192,0.0070801282508101,0.0017792349655529
9,0.3970781836885018,0.0523597839809009,0.0002128556578176,1.0320047781756344e-05,0.2612738170056136,0.005380321779552,3.855089101541956e-05,1.9929724412638005e-05,0.0003212867870272,9.556768117375178e-05
10,0.447419727609161,0.0075952227239633,0.1518041880618125,0.0082922067344307,0.266035944752184,0.0310982616880187,0.0033545612720715,0.0007879477394863,0.1224725000027818,0.0082605542482345
11,0.1674789805822534,0.0232724888144659,0.1204577282108497,0.0095428773972626,0.5638687403101023,0.0275268798375738,0.0004428302649539,0.0001395748133596,0.098160033689176,0.0092561519765959
12,0.0010742059530938,0.0002801208707687,1.3683734824311138,0.0053056332330549,1.363882477199519,0.0035505940931939,0.002964177153957,0.0003850965187948,0.6633318101159624,0.0046152197374537
13,0.0037287605612415,0.0034027909618335,0.1531767911029577,0.0130135859587424,0.1113175247086706,0.0213938023442428,0.0025323497667827,0.0018568768990929,0.0947326165321714,0.0110718426696777
14,0.2791197681404179,0.0385807184601757,0.0004065762303889,5.450167895125669e-05,0.3510315651272485,0.0129175853696075,6.887882116635369e-05,1.7430715191344743e-05,0.00038230402146,0.0001201569862004
15,0.4852636763758874,0.061153629871157,0.0064997241380618,0.0010450543534595,0.2929358202664713,0.0129714246635231,0.0001290220670321,2.9389622550584105e-05,0.0063405393543677,0.0010176551207407
16,0.3035770202801851,0.0054480460152289,0.0626595869760934,0.0105540172251827,0.6035410772647386,0.1510865364824783,0.0023411117522821,0.0004610626401883,0.0573038806658272,0.010509188485368
17,0.4512786300505157,0.0212316496796146,0.0002860459508172,6.355225780945307e-05,0.168289278051628,0.0212965579144082,7.120364975147853e-05,1.8225082003629045e-05,0.0003607845167333,0.0001205457426483
18,0.1629601048522224,0.0197901366907552,0.0045940339385713,0.0009411567040322,0.5269159696524334,0.0238013349648903,6.24184879849425e-05,1.6060643702301472e-05,0.0045333956410535,0.0009137639468202
19,0.103043899571701,0.0236357117714019,0.0013961999972798,0.0002645204147389,0.3430307865108024,0.0267414961528514,9.282856083405732e-05,1.8596688020048367e-05,0.0014195505359212,0.000274589819736
20,0.3388329853454684,0.0321282212558902,0.0475233692255979,0.0061786210750398,0.5601905892292397,0.0419089124077207,4.306450317842972e-05,2.2199685562919454e-05,0.0436942659341554,0.0060237774115055
21,0.0008438201962741,0.0005902261252599,0.0531728826343739,0.0119837285102882,0.0169166219882978,0.0039953293217748,0.0010032687987513,0.0006691241263797,0.015600496144311,0.0030151095811947
22,0.0007369554824927,0.0002776120048294,0.0802434574795619,0.0056557074757147,0.0774185585322281,0.0038843787440828,0.001194596203888,0.0003663010256589,0.0256720751349801,0.0023477528983375
23,0.1837794517364541,0.0253872581020412,0.0587365998460811,0.0080447658922385,0.6201407335712137,0.0349407904161089,0.0004038524272991,8.677482215574513e-05,0.0530863394328422,0.0077413424704883
24,0.3029227026310422,0.0482219839152829,0.0001490609257005,3.515172148815449e-05,0.3786579869563874,0.0111928999161442,0.0001186662138243,2.8965179899334627e-05,0.0003251785888459,0.0001092889185378
25,0.4170224853747368,0.0250259736467102,0.0102814371456229,0.0022455452687168,0.3143791064904077,0.0398377644824075,7.052765093990205e-05,1.67065467080843e-05,0.0101045460609782,0.0022006877339696
26,0.5058247151831918,0.0359714185131161,0.0001385463630691,2.368549730873049e-05,0.1517571732610159,0.0219002786923484,0.0002314106692136,4.452248536369428e-05,0.0004843455117654,0.0001386942583742
27,0.4861090568830744,0.0393312416706568,0.0169237781592309,0.0035278149838632,0.3112266876693885,0.0241375794095228,0.0001052811964709,2.0227743027319696e-05,0.0166209292235819,0.0034488242329001
28,0.0759789818083732,0.0070471512470753,0.0145636562443859,0.0038101886401252,0.4013079862503599,0.0133229327250105,0.0008711586307729,0.0001839902569428,0.0142679802164147,0.0037217474537455
29,0.0017115317255202,0.0002847968374977,6.266901648397292,0.0053398605336668,6.25570949613296,0.0033862535771988,0.0044745422201541,0.0003901823009129,2.4033525602035897,0.0042655054077632
30,0.3025869483279984,0.0794916828333196,0.0006596583368005,3.122372360338919e-05,0.5597912793614963,0.0040526660828951,4.852991859439792e-05,1.686616334346308e-05,0.0006615156504288,6.386062429228508e-05
31,0.1815753799552842,0.0071329020513362,0.1060447116181306,0.0103615959374732,0.3410110222004466,0.09988037721821,0.0022106714228984,0.0006207015134477,0.1015746773615684,0.0103243717653453
32,0.5256481945521847,0.0626158684090876,0.0018141203094497,0.0002375045700105,0.2420177474648334,0.0113616881520991,0.0001187520862295,3.338087979644212e-05,0.0016885695679559,0.0002594424929265
33,0.2238219662024806,0.0116482425671094,0.1244297069785036,0.0101645710449834,0.2551878861202603,0.0335106054108962,0.0079737675534256,0.0016862204077993,0.1197001061685393,0.0101140582509246
