tracer_number,CO_max_error,CO_l2_error,C+_max_error,C+_l2_error,O+_max_error,O+_l2_error,O_max_error,O_l2_error,e-_max_error,e-_l2_error
0,0.5594826288782435,0.0318885331719741,3.408333412922198e-05,1.933758081778851e-06,0.1236379987493059,0.0092421178118249,0.0001475179946678,6.569376997303318e-05,0.0004132655932849,0.0001744930650417
1,0.002158652484453,0.000274028796044,7.898795293419194,0.0055020944450681,7.844040225428895,0.0035927601608191,0.0054791564851558,0.0003687788336936,2.873765796586499,0.0053969245906192
2,0.0166140603337184,0.0057162923496457,0.0025559113960067,0.0012260749633584,0.2929504624627628,0.0041564822475747,0.0003351756035807,0.0001428401465546,0.0024907481221631,0.0012118017581124
3,0.4962361304457953,0.0256692332749326,0.0419511279303691,0.0058512259484158,0.4045732858012231,0.028186743073242,0.0001094040277219,3.734285107924577e-05,0.0403674017283999,0.0056870965741494
4,0.2610389239906364,0.0096765489247181,0.1933173192249449,0.009064424563368,0.3679158886088937,0.0407957582072303,0.0105873613894833,0.0028173905894321,0.1876513727728077,0.0090128558039206
5,0.1221140324574381,0.009862206441662,0.0791257490618314,0.009705763508596,0.7092337697256066,0.0368700204069545,0.0004151815179698,7.98467404038833e-05,0.0718651095655084,0.0095024411577497
6,0.191875650065306,0.0362020106869727,0.0022676592605124,0.0003527457177986,0.4870928338608607,0.0137807680637244,3.3776735286780033e-05,6.955834711064922e-06,0.0021916355793511,0.00034935402882
7,0.3959610792254249,0.0484026188462874,0.0004130918022292,3.890273807171579e-05,0.2442561743503542,0.0092532074318469,5.420506133744417e-05,1.949997069069628e-05,0.0004613409388481,0.0001045469300075
8,0.0007361983961875,0.0003606708719969,0.026965848507073,0.0036274855150885,0.0110806151131515,0.0029511753165302,0.0006213071920498,0.0004253380970495,0.0069569263715682,0.0017254990415094
9,0.3970823355117114,0.051992327981393,0.0002128546892839,1.034348952666888e-05,0.2613579991735037,0.005330643813269,3.8131588631260906e-05,1.9741149821235204e-05,0.0003228323173406,9.565823605253682e-05
10,0.4451888405605702,0.0075510231443668,0.1515019305423782,0.0082527652331544,0.2652734903553504,0.0308496400317661,0.003340872031937,0.000783344496249,0.1217788270120295,0.0082215908837864
11,0.1669083434435585,0.023322380307606,0.1204680906284388,0.0095252353599049,0.5638675037401379,0.0277313140534868,0.000441646239967,0.0001398737620332,0.0981587621094035,0.0092386110935315
12,0.0010488470929209,0.0002646676202111,1.367460380978353,0.0053114832374388,1.364034181602244,0.0035389507398187,0.0028838094119635,0.0003629962502583,0.6631570560188963,0.0046484439965572
13,0.0037322940214127,0.0034064999765701,0.1530193941760413,0.0130029383809463,0.1112622694118634,0.0214092093179774,0.0025353022818775,0.0018588189626651,0.0946326844799804,0.0111148150621212
14,0.2781773136970408,0.0384785400485544,0.0004065316461105,5.442683650375011e-05,0.3510334736653023,0.0126983280755481,6.871927608501622e-05,1.7125018785974424e-05,0.0003821169552761,0.0001178172782473
