tracer_number,CO_max_error,CO_l2_error,C+_max_error,C+_l2_error,O+_max_error,O+_l2_error,O_max_error,O_l2_error,e-_max_error,e-_l2_error
0,0.5594926529713146,0.0318660204970886,3.406795612354051e-05,1.932975297588573e-06,0.123593568970858,0.0092741741257442,0.0001471624326404,6.592407606510464e-05,0.0004126873979627,0.0001750393711641
1,0.0021823575618196,0.0002793638317021,7.902788067601925,0.0055089200379652,7.843823218523495,0.0035982637750877,0.0055533038746208,0.0003785127551452,2.868558908849932,0.0054146281153391
2,0.0166656549295786,0.0057402186903392,0.0025589590483684,0.0012284965664081,0.2929247096604698,0.0041646699421477,0.0003362479978729,0.0001434386929252,0.0024934589255173,0.0012140850629685
3,0.4961968164298955,0.0256323489243842,0.0420684871052383,0.0058481354750455,0.4045697971910574,0.0282271639385566,0.0001094747176452,3.734873519417804e-05,0.0404805657714255,0.0056843775233983
4,0.2616992344644138,0.0096879211620296,0.1931060487192815,0.0090870738606748,0.367937129112078,0.0408233747399264,0.0106045251710535,0.0028206544742903,0.1874194527701935,0.0090344661189756
5,0.1223242749009734,0.009898644883351,0.0793628924925807,0.0097323446111985,0.7091422063660741,0.0370514830251257,0.0004161782917067,8.014189490256801e-05,0.0720962856599069,0.0095291799969431
6,0.1919964075950312,0.0362849617163821,0.0022650464442895,0.0003531000464858,0.4871018071486992,0.0139354854677203,3.3973200964805643e-05,7.035428606627096e-06,0.0021890525049757,0.0003495880738973
7,0.3961192706864695,0.0484123220515599,0.0004132820019976,3.894801100620321e-05,0.2443806149516711,0.0093705884523276,5.4969771854563874e-05,1.9743579895273884e-05,0.0004614649663138,0.0001051311026756
8,0.0007240340602865,0.0003445957754539,0.0269177738523116,0.0035918296394435,0.0110574610027562,0.0029353886029583,0.0005990493390469,0.0004060487980733,0.0069128418600619,0.0017462338130597
9,0.3970850022240597,0.0523252476916229,0.0002128555560372,1.032881232789103e-05,0.2613751200532678,0.0053762341597715,3.8523738147989947e-05,1.9914529343251472e-05,0.0003210454024761,9.58306324237472e-05
10,0.4477528426872607,0.0076061450529098,0.1518355230670732,0.0083069571863761,0.2659926435760516,0.0310007496732086,0.0033604312440251,0.0007890795770016,0.1224932255921432,0.0082750371274534
11,0.1655196331948022,0.0232589026341275,0.120428133632357,0.0095371906746202,0.5638683745739119,0.0275485971777605,0.0004413124614505,0.0001394972042977,0.0981333180941696,0.0092505203198006
12,0.0010737451368854,0.0002793018661939,1.3685619656835053,0.0053115381966096,1.3640097397635689,0.0035507548552612,0.002963928324299,0.0003848230874199,0.6633611529667194,0.0046290575712462
13,0.0037267427682542,0.0034006425737158,0.1531105404360435,0.0129694026378721,0.1112911206985286,0.0213695274149445,0.002530533662809,0.0018556045550443,0.0946844726002309,0.0110341203850541
14,0.27928895022293,0.0385815664528673,0.0004065505457508,5.4412438645407134e-05,0.3510131712228453,0.0127819234811231,6.874863851070001e-05,1.724172919896501e-05,0.0003816238890555,0.0001182074099787
